Accel X
P_i,P_t,P_x,T_i,T_t,T_p
422,1491853222.5133039951,-0.156700,401,1491853222.4547679424,-0.528000
781,1491853223.5059089661,-0.068700,724,1491853223.3481040001,-0.540400
1137,1491853224.4974710941,-0.084800,1086,1491853224.3571779728,-0.547300
1508,1491853225.5269720554,-0.139200,1480,1491853225.4487109184,-0.682600
1858,1491853226.4982590675,-0.094600,1844,1491853226.4594449997,-0.708800
2215,1491853227.4884190559,0.032500,2165,1491853227.3493969440,-0.633300
2566,1491853228.4609699249,-0.040300,2509,1491853228.3029370308,-0.577600
2923,1491853229.4512379169,-0.064800,2895,1491853229.3735790253,-0.609300
3281,1491853230.4426770210,-0.021100,3266,1491853230.4016370773,-0.774200
3646,1491853231.4545629025,-0.104800,3624,1491853231.3937571049,-0.818600
4017,1491853232.4846460819,-0.131200,3988,1491853232.4037959576,-0.761000
4360,1491853233.4363899231,-0.085300,4310,1491853233.2975840569,-0.538100
4724,1491853234.4448869228,-0.121300,4703,1491853234.3868749142,-0.840300
5097,1491853235.4768478870,-0.160500,5068,1491853235.3964729309,-0.686900
5454,1491853236.4670419693,-0.038200,5440,1491853236.4291329384,-0.702100
5819,1491853237.4780530930,-0.018800,5762,1491853237.3201360703,-0.611500
6155,1491853238.4104449749,-0.159700,6133,1491853238.3492619991,-0.605900
6426,1491853239.1616699696,-0.025500,6577,1491853239.5787398815,-0.704500



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
408,1491853222.4744400978,0.584300,401,1491853222.4547679424,-0.689400
745,1491853223.4061288834,0.588000,766,1491853223.4647490978,-0.496200
1108,1491853224.4176359177,0.636100,1129,1491853224.4754340649,-0.707400
1465,1491853225.4070959091,0.666100,1487,1491853225.4683361053,-0.671000
1829,1491853226.4177999496,0.695600,1851,1491853226.4785799980,-0.888100
2187,1491853227.4102880955,0.749200,2208,1491853227.4686839581,-0.745400
2537,1491853228.3806359768,0.773400,2551,1491853228.4193849564,-0.483500
2887,1491853229.3515601158,0.682100,2908,1491853229.4100348949,-0.300500
3252,1491853230.3626959324,0.794100,3274,1491853230.4230868816,-0.999800
3638,1491853231.4321520329,0.745000,3631,1491853231.4129490852,-0.974800
3974,1491853232.3649981022,0.649700,3995,1491853232.4230461121,-0.933500
4317,1491853233.3172268867,0.622800,4352,1491853233.4144999981,-0.637100
4688,1491853234.3452780247,0.732700,4710,1491853234.4064888954,-0.640500
5054,1491853235.3575859070,0.701000,5075,1491853235.4160981178,-0.916700
5418,1491853236.3688199520,0.734600,5447,1491853236.4481329918,-0.814600
5783,1491853237.3782548904,0.832700,5798,1491853237.4198770523,-0.589600
6155,1491853238.4104449749,0.746900,6176,1491853238.4684939384,-0.814700
,,,6577,1491853239.5787398815,-0.988200



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
1129,1491853224.4754340649,0.399500,773,1491853223.4838960171,-0.210200
1486,1491853225.4655289650,0.251900,1136,1491853224.4946689606,-0.249100
1851,1491853226.4785799980,0.301900,1494,1491853225.4877979755,-0.361000
3273,1491853230.4204280376,0.352100,1858,1491853226.4982590675,-0.418700
3631,1491853231.4129490852,0.451900,3274,1491853230.4230868816,-0.554200
4173,1491853232.9185740948,0.338300,3638,1491853231.4321520329,-0.401800
5075,1491853235.4160981178,0.348800,4002,1491853232.4428079128,-0.369200
5804,1491853237.4367289543,0.330100,4903,1491853234.9396529198,-0.187300
6577,1491853239.5787398815,0.421900,5454,1491853236.4670419693,-0.222400
,,,6183,1491853238.4878890514,-0.275100
,,,6584,1491853239.5973999500,-0.393700



Gyro X
