Accel X
P_i,P_t,P_x,T_i,T_t,T_p
P_i,P_t,P_x,T_i,T_t,T_p
662,1491853223.1778080463,0.141700,628,1491853223.0839428902,-0.243000
979,1491853224.0606749058,0.240000,1131,1491853224.4830670357,-0.373400
1339,1491853225.0602889061,0.232100,1717,1491853226.1095240116,-0.214800
1698,1491853226.0567059517,0.250100,2170,1491853227.3659060001,-0.222100
2058,1491853227.0549240112,0.361200,2556,1491853228.4353749752,-0.264400
2414,1491853228.0425100327,0.336800,2916,1491853229.4339690208,-0.314100
2734,1491853228.9289200306,0.243400,3272,1491853230.4200599194,-0.310700
3090,1491853229.9159998894,0.209400,3636,1491853231.4289829731,-0.256500
3484,1491853231.0071659088,0.318500,4355,1491853233.4252760410,-0.182700
3818,1491853231.9338219166,0.176600,4715,1491853234.4225029945,-0.271600
4203,1491853233.0039889812,0.277600,5080,1491853235.4325339794,-0.293600
4533,1491853233.9179189205,0.219500,5447,1491853236.4504299164,-0.371200
4901,1491853234.9364790916,0.237000,5770,1491853237.3450620174,-0.253700
5261,1491853235.9349119663,0.208700,6137,1491853238.3629090786,-0.247500
5625,1491853236.9434680939,0.152700,6416,1491853239.1365010738,-0.364100
5997,1491853237.9737908840,0.162200,,,
6371,1491853239.0112230778,0.231400,,,



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
602,1491853223.0126500130,0.189000,312,1491853222.2103600502,-0.165500
961,1491853224.0108458996,0.225000,699,1491853223.2807509899,-0.241600
1350,1491853225.0907020569,0.173600,1065,1491853224.2995269299,-0.220800
1713,1491853226.0983889103,0.197100,1435,1491853225.3266139030,-0.285900
2199,1491853227.4462389946,0.230000,1791,1491853226.3144938946,-0.293300
2559,1491853228.4437739849,0.230600,2151,1491853227.3130478859,-0.357100
2908,1491853229.4124519825,0.236500,2492,1491853228.2585248947,-0.292400
3268,1491853230.4094009399,0.256000,2860,1491853229.2786250114,-0.309000
3636,1491853231.4289829731,0.199200,3220,1491853230.2762980461,-0.257800
4003,1491853232.4480860233,0.169600,3569,1491853231.2438139915,-0.277800
4344,1491853233.3943920135,0.227600,3940,1491853232.2728760242,-0.276100
4719,1491853234.4332029819,0.275200,4288,1491853233.2392129898,-0.257000
5080,1491853235.4325339794,0.287900,4659,1491853234.2672901154,-0.306900
5436,1491853236.4203209877,0.309400,5020,1491853235.2666049004,-0.240200
5815,1491853237.4692111015,0.298600,5387,1491853236.2839419842,-0.287800
6185,1491853238.4959270954,0.260800,5752,1491853237.2945699692,-0.319900
6557,1491853239.5260150433,0.153800,6119,1491853238.3128890991,-0.299700
,,,6498,1491853239.3629500866,-0.256400



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
598,1491853223.0014970303,0.843100,322,1491853222.2385120392,-0.480800
957,1491853223.9996290207,0.891100,709,1491853223.3088099957,-0.772000
1316,1491853224.9961469173,0.890800,1072,1491853224.3191719055,-0.729600
1676,1491853225.9963970184,0.842900,1431,1491853225.3153970242,-0.790600
2036,1491853226.9942679405,0.923100,1795,1491853226.3257179260,-0.773000
2392,1491853227.9817960262,0.965900,2151,1491853227.3130478859,-0.785000
2741,1491853228.9485249519,0.954000,2500,1491853228.2801890373,-0.767100
3094,1491853229.9271819592,0.873900,2860,1491853229.2786250114,-0.799000
3461,1491853230.9432830811,0.806500,3220,1491853230.2762980461,-0.823900
3825,1491853231.9534931183,0.778800,3576,1491853231.2630279064,-0.756100
4180,1491853232.9404881001,0.873300,3943,1491853232.2812900543,-0.771000
4540,1491853233.9372711182,0.895300,4284,1491853233.2282838821,-0.775200
4905,1491853234.9476931095,0.917500,4652,1491853234.2481429577,-0.771700
5276,1491853235.9761309624,0.913100,5020,1491853235.2666049004,-0.806100
5629,1491853236.9541659355,0.816300,5391,1491853236.2953319550,-0.761600
6004,1491853237.9934630394,0.896100,5755,1491853237.3029310703,-0.843500
6375,1491853239.0222859383,0.830700,6122,1491853238.3209419250,-0.811400
,,,6494,1491853239.3517830372,-0.711500



