Accel X
P_i,P_t,P_x,T_i,T_t,T_p
269,1491853179.1591959000,0.243900,358,1491853179.4057600498,-0.173500
705,1491853180.3730831146,0.137800,816,1491853180.6807260513,-0.190600
1128,1491853181.5472340584,0.147900,1242,1491853181.8637170792,-0.196500
1539,1491853182.6865570545,0.173500,1528,1491853182.6556971073,-0.131000
2139,1491853184.3437221050,0.137400,2065,1491853184.1385440826,-0.281100
2559,1491853185.5076930523,0.104100,2484,1491853185.2999889851,-0.233400
3198,1491853187.2779281139,0.207000,2900,1491853186.4528880119,-0.232100
3636,1491853188.4920189381,0.210800,3313,1491853187.5972239971,-0.229000
4207,1491853190.0743000507,0.217400,3610,1491853188.4199008942,-0.133100
4635,1491853191.2586989403,0.173400,4144,1491853189.8994309902,-0.261900
5036,1491853192.3704209328,0.157700,4568,1491853191.0732660294,-0.256500
5452,1491853193.5229499340,0.210800,4984,1491853192.2263209820,-0.247100
5864,1491853194.6656870842,0.177300,5385,1491853193.3376829624,-0.232100
6280,1491853195.8172209263,0.150900,5667,1491853194.1195259094,-0.071800
6696,1491853196.9700179100,0.147800,6083,1491853195.2716150284,-0.065300
7345,1491853198.7689249516,0.167400,6499,1491853196.4249169827,-0.101600
7722,1491853199.8605339527,0.200400,7037,1491853197.9154169559,-0.279100
8134,1491853201.0033740997,0.201100,7438,1491853199.0260350704,-0.275100
8550,1491853202.1561799049,0.191400,7830,1491853200.1604590416,-0.262100
,,,8245,1491853201.3108799458,-0.288100
,,,8539,1491853202.1253190041,-0.119700
,,,9088,1491853203.6463439465,-0.299100



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
694,1491853180.3427050114,0.738300,358,1491853179.4057600498,-0.439600
1120,1491853181.5252990723,0.757800,820,1491853180.6919291019,-0.632800
1532,1491853182.6669249535,0.793300,1250,1491853181.8857150078,-0.685800
1946,1491853183.8090848923,0.759700,1662,1491853183.0263938904,-0.690900
2365,1491853184.9701728821,0.799400,2072,1491853184.1581630707,-0.717000
2778,1491853186.1144580841,0.772500,2495,1491853185.3307690620,-0.698800
3197,1491853187.2751278877,0.760900,2908,1491853186.4748609066,-0.684000
3617,1491853188.4395999908,0.774400,3301,1491853187.5641109943,-0.647500
4029,1491853189.5817129612,0.810800,3743,1491853188.7890400887,-0.670100
4446,1491853190.7345070839,0.741100,4148,1491853189.9103810787,-0.665400
4858,1491853191.8771591187,0.787800,4575,1491853191.0928969383,-0.694100
5266,1491853193.0082359314,0.770800,4958,1491853192.1542770863,-0.686400
5670,1491853194.1279339790,0.773200,5377,1491853193.3156208992,-0.688400
6086,1491853195.2800629139,0.773000,5775,1491853194.4184029102,-0.700300
6506,1491853196.4441170692,0.756600,6216,1491853195.6405858994,-0.707900
6918,1491853197.5850660801,0.796600,6617,1491853196.7523601055,-0.666000
7327,1491853198.7188251019,0.796500,7045,1491853197.9374730587,-0.688600
7711,1491853199.8301420212,0.773100,7431,1491853199.0071380138,-0.684000
8130,1491853200.9921529293,0.742900,7837,1491853200.1798329353,-0.665300
8546,1491853202.1449599266,0.684100,8256,1491853201.3417229652,-0.683700
8977,1491853203.3389160633,0.679100,8672,1491853202.4949579239,-0.612000
,,,9096,1491853203.6683180332,-0.572600



