Accel X
P_i,P_t,P_x,T_i,T_t,T_p
1658,1491852973.3944010735,-0.052600,1244,1491852972.2450718880,-0.349600
2250,1491852975.0390529633,-0.041000,1858,1491852973.9503650665,-0.330300
2835,1491852976.6644558907,-0.003200,2436,1491852975.5557880402,-0.415000
3392,1491852978.2099940777,-0.017000,3021,1491852977.1815960407,-0.409800
3977,1491852979.8358280659,0.009600,3585,1491852978.7455129623,-0.471100
4541,1491852981.4024829865,0.030100,4163,1491852980.3520910740,-0.383800
5097,1491852982.9475729465,0.013600,5026,1491852982.7501809597,-0.306300
5669,1491852984.5352959633,-0.017900,5647,1491852984.4744420052,-0.300700
6247,1491852986.1404619217,0.034300,6368,1491852986.4766829014,-0.318100
6818,1491852987.7250649929,0.015400,7360,1491852989.2302770615,-0.328000
7382,1491852989.2911009789,0.055400,8460,1491852992.2833380699,-0.315400
7967,1491852990.9157071114,-0.025300,8739,1491852993.0578548908,-0.292800
8546,1491852992.5216848850,-0.007200,9304,1491852994.6233839989,-0.331700
9118,1491852994.1075150967,-0.053500,10190,1491852997.0795869827,-0.370100
9675,1491852995.6523120403,-0.009300,10944,1491852999.1820731163,-0.510400
10212,1491852997.1402769089,-0.057700,11496,1491853000.7082550526,-0.396900
10758,1491852998.6674940586,-0.050500,11812,1491853001.5817680359,-0.341200
11317,1491853000.2125740051,-0.049500,12398,1491853003.2063651085,-0.325600
11890,1491853001.7976949215,-0.016600,13134,1491853005.2481389046,-0.460800
12419,1491853003.2648739815,0.002200,13462,1491853006.1595849991,-0.285600
12955,1491853004.7513809204,-0.039400,14019,1491853007.7057778835,-0.329400
13491,1491853006.2400369644,0.015100,15062,1491853010.5991289616,-0.323800
14040,1491853007.7638471127,0.019100,15612,1491853012.1261899471,-0.338100
14576,1491853009.2509620190,0.015800,16347,1491853014.1665310860,-0.395500
15105,1491853010.7183349133,0.004200,16884,1491853015.6539349556,-0.401800
15640,1491853012.2034590244,-0.021600,17390,1491853017.0602669716,-0.270300
16175,1491853013.6908640862,0.045400,,,
16712,1491853015.1765971184,0.046700,,,
17290,1491853016.7820029259,0.019400,,,



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
1028,1491852971.6486890316,0.113700,1258,1491852972.2830688953,-0.180100
1807,1491852973.8089420795,0.089800,1865,1491852973.9695129395,-0.202500
2371,1491852975.3749580383,0.105900,2450,1491852975.5945839882,-0.237900
3006,1491852977.1398000717,0.119000,3035,1491852977.2204999924,-0.259900
3371,1491852978.1513528824,0.091000,3599,1491852978.7848689556,-0.331100
3977,1491852979.8358280659,0.114500,4177,1491852980.3912889957,-0.192800
4698,1491852981.8389959335,0.136500,4733,1491852981.9364900589,-0.142900
5211,1491852983.2638940811,0.110900,5304,1491852983.5222771168,-0.168000
