timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
0.006106099,0.008399924,-1.0571,-0.1216,-0.3147,-21.8048,-5.9662,-36.5143
0.008762082,0.011055907,-1.0571,-0.1216,-0.3147,75.3174,-6.0883,-36.5143
0.011415919,0.013762912,-1.0571,-0.1216,-0.3147,75.3174,-6.0883,-36.5143
0.014124116,0.016417941,-1.0571,-0.1216,-0.3147,75.3174,-6.0883,-36.5143
0.016775092,0.019073924,-1.0571,-0.1216,-0.3147,8.9111,-39.2456,-88.7604
0.019431075,0.024481019,-1.0571,-0.1216,-0.3147,10.498,-39.2456,-88.7604
0.024862012,0.027480086,-1.0527,-0.1179,-0.2993,10.498,-39.2456,-88.7604
0.027847012,0.030316075,-1.0527,-0.1179,-0.2993,10.3912,-40.1306,-88.9587
0.032047948,0.034574946,-1.0527,-0.1179,-0.2993,10.3912,-40.1306,-88.9587
0.035426101,0.037721118,-1.0527,-0.1179,-0.2993,10.3912,-40.1306,-88.9587
0.038083991,0.040384015,-1.0527,-0.1179,-0.2993,10.6354,-39.917,-88.8824
0.040743073,0.043049058,-1.0527,-0.1179,-0.2993,10.6354,-39.917,-88.8824
0.043410024,0.045705041,-1.0527,-0.1179,-0.2993,10.6354,-39.917,-88.8824
0.046064099,0.048368892,-1.0632,-0.1233,-0.3108,10.6354,-39.917,-88.8824
0.048728904,0.051020106,-1.0632,-0.1233,-0.3108,10.6812,-39.7491,-89.1876
0.051380118,0.053792914,-1.0632,-0.1233,-0.3108,10.6812,-39.7491,-89.1876
0.054154118,0.05644699,-1.0632,-0.1233,-0.3108,10.6812,-39.7491,-89.1876
0.056806048,0.059097966,-1.0632,-0.1233,-0.3108,10.6812,-39.7491,-89.1876
0.059458932,0.061757049,-1.0632,-0.1233,-0.3108,10.7574,-39.9628,-91.4612
0.062118014,0.064553937,-1.0632,-0.1233,-0.3108,10.7574,-39.9628,-91.4612
0.064914903,0.067211112,-1.0547,-0.1223,-0.3154,10.7574,-39.9628,-91.4612
0.067569932,0.069867095,-1.0547,-0.1223,-0.3154,10.7574,-39.9628,-91.4612
0.070224961,0.07258006,-1.0547,-0.1223,-0.3154,10.7574,-39.7034,-89.9658
0.072937926,0.075319966,-1.0547,-0.1223,-0.3154,10.7574,-39.7034,-89.9658
0.075679978,0.077970942,-1.0547,-0.1223,-0.3154,10.7574,-39.7034,-89.9658
0.078330954,0.080623111,-1.0547,-0.1223,-0.3154,10.7574,-39.7034,-89.9658
0.080981931,0.083614072,-1.0547,-0.1223,-0.3154,10.5133,-39.2761,-87.2955
0.083975991,0.086277923,-1.0547,-0.1223,-0.3154,10.5133,-39.2761,-87.2955
0.086636027,0.088938912,-1.0601,-0.1208,-0.3193,10.5133,-39.2761,-87.2955
0.089300116,0.091604909,-1.0601,-0.1208,-0.3193,10.5133,-39.2761,-87.2955
0.091964921,0.09462305,-1.0601,-0.1208,-0.3193,10.2539,-38.9709,-86.731
0.09499093,0.097408017,-1.0601,-0.1208,-0.3193,10.2539,-38.9709,-86.731
0.097773036,0.100182017,-1.0601,-0.1208,-0.3193,10.2539,-38.9709,-86.731
0.100548943,0.102963885,-1.0601,-0.1208,-0.3193,10.2539,-38.9709,-86.731
0.103330096,0.10592409,-1.0601,-0.1208,-0.3193,10.1471,-38.7878,-85.9222
0.106291016,0.108699044,-1.062,-0.1245,-0.324,10.1471,-38.7878,-85.9222
0.109066924,0.111473998,-1.062,-0.1245,-0.324,10.1471,-38.7878,-85.9222
0.111839971,0.114279946,-1.062,-0.1245,-0.324,10.1471,-38.7878,-85.9222
0.114648065,0.117078027,-1.062,-0.1245,-0.324,9.7504,-38.0707,-84.7168
0.117443046,0.119866094,-1.062,-0.1245,-0.324,9.7504,-38.0707,-84.7168
0.120378932,0.122817954,-1.062,-0.1245,-0.324,9.7504,-38.0707,-84.7168
0.123182973,0.125605067,-1.062,-0.1245,-0.324,9.7504,-38.0707,-83.1909
0.125968894,0.128392896,-1.0552,-0.1189,-0.3179,9.1553,-37.262,-83.1909
0.128759107,0.131175956,-1.0552,-0.1189,-0.3179,9.1553,-37.262,-83.1909
0.131540021,0.133908948,-1.0552,-0.1189,-0.3179,9.1553,-37.262,-83.1909
0.134266099,0.136572083,-1.0552,-0.1189,-0.3179,9.1553,-37.262,-81.131
0.13692995,0.139228066,-1.0552,-0.1189,-0.3179,8.7128,-36.5906,-81.131
