Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
1021,1491852971.6297810078,0.016900
1262,1491852972.2943010330,-0.079400
1803,1491852973.7977130413,0.089800
1873,1491852973.9918720722,0.060300
2364,1491852975.3556981087,0.093700
2454,1491852975.6058449745,0.054100
2992,1491852977.1006209850,0.092500
3039,1491852977.2317230701,0.011600
3367,1491852978.1402909756,0.091000
3603,1491852978.7956919670,0.046800
3970,1491852979.8162510395,-0.004100
4185,1491852980.4133911133,0.017100
4676,1491852981.7775759697,0.070000
4737,1491852981.9475510120,0.043800
5197,1491852983.2250490189,0.095400
5308,1491852983.5331609249,-0.089800
5807,1491852984.9180910587,0.099900
5880,1491852985.1201601028,0.072100
6239,1491852986.1184959412,-0.013400
6450,1491852986.7038140297,0.094000
6782,1491852987.6249089241,0.031200
7022,1491852988.2914159298,0.081600
7375,1491852989.2714679241,-0.002800
7593,1491852989.8769090176,0.042400
7960,1491852990.8964529037,0.038800
8171,1491852991.4822130203,0.010700
8681,1491852992.8968870640,0.079900
8747,1491852993.0797939301,-0.019700
9246,1491852994.4627139568,0.091200
9308,1491852994.6346509457,0.037000
9811,1491852996.0293569565,0.095500
9876,1491852996.2103159428,0.073300
10355,1491852997.5366680622,0.083500
10406,1491852997.6780989170,0.021000
10750,1491852998.6460690498,-0.013500
10967,1491852999.2450571060,0.073300
11503,1491853000.7277090549,-0.043700
12084,1491853002.3358891010,0.038200
12012,1491853002.1360590458,0.099000
12423,1491853003.2759990692,0.022000
12372,1491853003.1344320774,-0.094000
13663,1491853006.7168838978,0.073300
13141,1491853005.2675559521,-0.056400
14198,1491853008.2023050785,0.098500
13676,1491853006.7530679703,0.066000
14741,1491853009.7090890408,-0.043500
14219,1491853008.2601881027,0.061000
15263,1491853011.1574521065,0.099000
14747,1491853009.7255079746,-0.043500
15801,1491853012.6501729488,0.084100
15276,1491853011.1934530735,0.025800
16344,1491853014.1581048965,-0.033200
15812,1491853012.6810860634,0.037100
16885,1491853015.6568601131,-0.023300
16347,1491853014.1665310860,-0.033200
17273,1491853016.7351880074,0.002100



Accel Z
S_i,S_t,S_x



Gyro X
S_i,S_t,S_x
1015,1491852971.6159789562,0.074500
1072,1491852971.7732450962,-0.097700
1861,1491852973.9608678818,0.029500
1892,1491852974.0468180180,-0.020200
2246,1491852975.0302600861,0.081500
3047,1491852977.2561271191,-0.076900
3406,1491852978.2512989044,0.080700
3500,1491852978.5123579502,-0.089400
3988,1491852979.8687651157,0.089500
4118,1491852980.2299389839,-0.071100
4488,1491852981.2576110363,0.087700
4688,1491852981.8133389950,-0.076800
5043,1491852982.7998099327,0.096800
5144,1491852983.0799469948,-0.095400
5670,1491852984.5405290127,0.090900
5778,1491852984.8401660919,-0.093000
6236,1491852986.1125071049,0.086000
6452,1491852986.7118859291,-0.021300
6814,1491852987.7165141106,0.093100
6853,1491852987.8247809410,-0.098100
7333,1491852989.1573259830,0.071900
7598,1491852989.8933880329,-0.048500
7956,1491852990.8877830505,0.083300
8153,1491852991.4345541000,-0.006600
8545,1491852992.5213139057,0.098500
8687,1491852992.9157340527,-0.093100
9117,1491852994.1071391106,0.069100
