Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
351,1491853222.3163199425,0.076900
416,1491853222.4967451096,0.081800
716,1491853223.3256700039,0.052300
789,1491853223.5281529427,0.026200
1080,1491853224.3387110233,0.078500
1137,1491853224.4974710941,-0.058500
1436,1491853225.3269910812,0.001500
1495,1491853225.4904708862,0.076300
1801,1491853226.3400630951,0.035800
1873,1491853226.5399000645,0.076200
2158,1491853227.3302769661,0.027100
2223,1491853227.5103659630,0.058500
2501,1491853228.2805581093,0.027100
2574,1491853228.4829399586,0.080300
2866,1491853229.2930560112,0.073900
2912,1491853229.4209499359,-0.002700
3224,1491853230.2846770287,0.077900
3296,1491853230.4842369556,0.087200
3624,1491853231.3937571049,-0.021000
3642,1491853231.4433600903,-0.038800
3945,1491853232.2844769955,0.092800
4003,1491853232.4456570148,0.094600
4288,1491853233.2367889881,0.031500
4360,1491853233.4363899231,-0.034700
4660,1491853234.2676649094,0.033800
4725,1491853234.4476790428,0.023000
5032,1491853235.2973101139,0.094200
5091,1491853235.4600369930,0.071300
5397,1491853236.3097190857,0.076000
5455,1491853236.4698390961,-0.055700
5762,1491853237.3201360703,0.037500
5827,1491853237.5004930496,0.093000
6133,1491853238.3492619991,0.065200
6212,1491853238.5695118904,0.039800



Accel Z
S_i,S_t,S_x
769,1491853223.4731459618,-0.210200
1133,1491853224.4862549305,-0.249100
1132,1491853224.4834380150,-0.249100
1490,1491853225.4767570496,-0.361000
1490,1491853225.4767570496,-0.361000
3996,1491853232.4257619381,-0.369200
1494,1491853225.4877979755,-0.361000
3996,1491853232.4257619381,-0.369200
1494,1491853225.4877979755,-0.361000
3996,1491853232.4257619381,-0.369200
1494,1491853225.4877979755,-0.361000
5076,1491853235.4188990593,-0.337600
3998,1491853232.4310948849,-0.369200
5079,1491853235.4273109436,-0.337600
4002,1491853232.4428079128,-0.369200
5991,1491853237.9550049305,-0.210400
5450,1491853236.4561951160,-0.222400
6581,1491853239.5894150734,-0.393700



Gyro X
S_i,S_t,S_x
621,1491853223.0646750927,-0.066700
677,1491853223.2197189331,0.077700
972,1491853224.0418870449,0.015400
1136,1491853224.4970960617,-0.061800
1331,1491853225.0377550125,0.086900
1725,1491853226.1319830418,-0.080800
1691,1491853226.0376029015,0.022700
2182,1491853227.3989419937,-0.075000
2043,1491853227.0137410164,0.082100
2560,1491853228.4465839863,0.035600
2403,1491853228.0122621059,0.009900
2920,1491853229.4452700615,0.000400
2723,1491853228.8988239765,0.059700
3288,1491853230.4647009373,0.052600
3083,1491853229.8968799114,0.060500
3640,1491853231.4401869774,-0.023800
3473,1491853230.9764940739,0.022000
4359,1491853233.4360210896,0.008000
3810,1491853231.9119400978,0.084200
4720,1491853234.4359800816,0.013700
4195,1491853232.9825789928,0.081700
5088,1491853235.4540081024,-0.071700
4522,1491853233.8877658844,0.061300
5459,1491853236.4839470387,-0.008700
4890,1491853234.9064950943,0.067800
5775,1491853237.3584620953,-0.095100
5254,1491853235.9153280258,0.063000
6146,1491853238.3877921104,-0.031100
5618,1491853236.9238090515,0.076400
6435,1491853239.1893289089,-0.081700
5993,1491853237.9626429081,0.096500
