Accel X
P_i,P_t,P_x,T_i,T_t,T_p
859,1491853066.6068849564,0.012200,1038,1491853067.1027450562,-0.415500
1347,1491853067.9550769329,-0.042300,1526,1491853068.4494419098,-0.398200
1848,1491853069.3427290916,-0.014500,1826,1491853069.2816610336,-0.379500
2348,1491853070.7292170525,-0.024000,2526,1491853071.2242019176,-0.453400
2841,1491853072.0970759392,-0.013800,3005,1491853072.5523059368,-0.517200
3319,1491853073.4233610630,-0.028700,3298,1491853073.3652598858,-0.329800
3791,1491853074.7315180302,-0.017500,3770,1491853074.6730659008,-0.382300
4263,1491853076.0407779217,0.001200,4427,1491853076.4959919453,-0.569600
4749,1491853077.3885910511,0.012100,4728,1491853077.3302359581,-0.370500
5242,1491853078.7560749054,0.019100,5206,1491853078.6563000679,-0.398300
5708,1491853080.0466139317,0.012200,5879,1491853080.5211369991,-0.525600
6187,1491853081.3733890057,0.040600,6630,1491853082.6027710438,-0.415200
6651,1491853082.6612689495,0.003500,7215,1491853084.2267110348,-0.422800
7108,1491853083.9298379421,-0.037100,7753,1491853085.7132940292,-0.391800
7588,1491853085.2582509518,0.027000,8032,1491853086.4874279499,-0.394000
8068,1491853086.5875060558,0.072800,8511,1491853087.8162748814,-0.415000
8546,1491853087.9132831097,-0.008200,8997,1491853089.1635990143,-0.346200
9018,1491853089.2214159966,0.005100,9652,1491853090.9874529839,-0.417600
9495,1491853090.5514750481,0.013100,10138,1491853092.3329520226,-0.536800
9974,1491853091.8781468868,0.044000,10417,1491853093.1070060730,-0.360700
10460,1491853093.2269089222,-0.041100,10902,1491853094.4560561180,-0.348000
10923,1491853094.5139648914,0.020900,11560,1491853096.2800419331,-0.420600
11402,1491853095.8411800861,0.052500,11973,1491853097.4274990559,-0.383400
11860,1491853097.1125879288,0.022900,12516,1491853098.9343919754,-0.414200
12345,1491853098.4589149952,0.027100,12994,1491853100.2615060806,-0.411700
12823,1491853099.7861609459,0.012600,13266,1491853101.0150380135,-0.355700



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
1498,1491853068.3716959953,0.202500,2526,1491853071.2242019176,-0.526700
2984,1491853072.4938919544,0.223300,3012,1491853072.5720520020,-0.339800
3477,1491853073.8608999252,0.207400,3498,1491853073.9184598923,-0.236400
3941,1491853075.1481099129,0.234900,3970,1491853075.2286009789,-0.250700
5385,1491853079.1527130604,0.207600,4442,1491853076.5372369289,-0.298200
6322,1491853081.7480990887,0.236500,5413,1491853079.2307639122,-0.603900
7237,1491853084.2880918980,0.288900,5886,1491853080.5401189327,-0.475600
8210,1491853086.9821560383,0.269200,6358,1491853081.8482470512,-0.576300
9160,1491853089.6197669506,0.250300,6830,1491853083.1578600407,-0.369300
9637,1491853090.9458570480,0.251100,7279,1491853084.4046649933,-0.557300
10117,1491853092.2745358944,0.255900,7767,1491853085.7525959015,-0.427000
10595,1491853093.6015319824,0.227500,8239,1491853087.0626969337,-0.552200
11066,1491853094.9100348949,0.203000,8711,1491853088.3710699081,-0.270600
11538,1491853096.2192699909,0.249300,9188,1491853089.6974470615,-0.499500
12009,1491853097.5276889801,0.320000,9659,1491853091.0068349838,-0.205300
12973,1491853100.2030849457,0.237000,10145,1491853092.3526029587,-0.269300
,,,10624,1491853093.6816570759,-0.333100
,,,11095,1491853094.9906649590,-0.430500
,,,11566,1491853096.2967391014,-0.741600
,,,12037,1491853097.6049630642,-0.533800
,,,12516,1491853098.9343919754,-0.568800



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
1540,1491853068.4880490303,0.186900,2040,1491853069.8750710487,-0.083900
2526,1491853071.2242019176,0.184100,2983,1491853072.4912250042,-0.079300
3283,1491853073.3236899376,0.304700,3477,1491853073.8608999252,-0.082100
3970,1491853075.2286009789,0.254200,3977,1491853075.2482669353,-0.135400
4441,1491853076.5344309807,0.172700,4885,1491853077.7656209469,-0.081500
4927,1491853077.8821730614,0.158400,6615,1491853082.5616760254,-0.094800
6829,1491853083.1550559998,0.189900,7251,1491853084.3264560699,-0.084900
7279,1491853084.4046649933,0.178700,8032,1491853086.4874279499,-0.266500
8238,1491853087.0598878860,0.147000,9195,1491853089.7171928883,-0.109300
9666,1491853091.0264570713,0.120800,9909,1491853091.6999320984,-0.180400
10152,1491853092.3718850613,0.102900,10417,1491853093.1070060730,-0.190300
11566,1491853096.2967391014,0.166700,12009,1491853097.5276889801,-0.105300
12037,1491853097.6049630642,0.185500,,,
13008,1491853100.2999160290,0.175300,,,



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
1353,1491853067.9734640121,0.158100,1054,1491853067.1490080357,-0.125200
1814,1491853069.2505769730,0.197600,1387,1491853068.0667200089,-0.090000
3008,1491853072.5631499290,0.155800,1943,1491853069.6088550091,-0.145400
3279,1491853073.3149199486,0.193100,3019,1491853072.5936119556,-0.110000
3754,1491853074.6309459209,0.150800,3502,1491853073.9317638874,-0.156200
4266,1491853076.0515019894,0.150400,3972,1491853075.2366280556,-0.223100
4752,1491853077.3991670609,0.166600,4444,1491853076.5452699661,-0.124800
5200,1491853078.6419079304,0.160400,4930,1491853077.8930211067,-0.100000
5717,1491853080.0737800598,0.203000,5419,1491853079.2491259575,-0.205100
6318,1491853081.7394919395,0.137100,5891,1491853080.5563631058,-0.116600
6611,1491853082.5532550812,0.201800,6363,1491853081.8643960953,-0.258700
7078,1491853083.8491349220,0.221300,6834,1491853083.1715021133,-0.155600
7763,1491853085.7437949181,0.166600,7127,1491853083.9846880436,-0.139300
8505,1491853087.8018391132,0.197400,7785,1491853085.8050270081,-0.089500
9452,1491853090.4345629215,0.141500,8245,1491853087.0815930367,-0.087100
9931,1491853091.7624430656,0.130700,9190,1491853089.7054910660,-0.155500
10413,1491853093.0982079506,0.176900,9667,1491853091.0316820145,-0.136200
10891,1491853094.4258460999,0.189700,10154,1491853092.3797969818,-0.146500
11358,1491853095.7218949795,0.160300,10632,1491853093.7063729763,-0.169500
11826,1491853097.0209259987,0.120300,11102,1491853095.0120909214,-0.177500
12826,1491853099.7970070839,0.177900,11570,1491853096.3100080490,-0.145000
13335,1491853101.2082910538,0.354100,12519,1491853098.9452719688,-0.239200
,,,12860,1491853099.8915901184,-0.087800



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
839,1491853066.5540649891,0.130300,413,1491853065.3708739281,-0.118300
1331,1491853067.9125831127,0.118300,950,1491853066.8625099659,-0.133000
1798,1491853069.2064790726,0.098200,1457,1491853068.2604699135,-0.155800
2833,1491853072.0773460865,0.135800,1813,1491853069.2477719784,-0.083600
3293,1491853073.3536999226,0.105700,2433,1491853070.9683148861,-0.192400
3791,1491853074.7339479923,0.205600,2934,1491853072.3574619293,-0.225100
4247,1491853075.9985520840,0.125300,3282,1491853073.3233139515,-0.094700
4729,1491853077.3354680538,0.123800,3887,1491853075.0006930828,-0.196000
5234,1491853078.7360079288,0.183000,4355,1491853076.2984180450,-0.202900
6170,1491853081.3286030293,0.150000,4837,1491853077.6348609924,-0.209400
6644,1491853082.6443779469,0.150400,5200,1491853078.6419079304,-0.111200
7082,1491853083.8600990772,0.129300,5809,1491853080.3291690350,-0.227400
7584,1491853085.2496469021,0.174200,6270,1491853081.6055629253,-0.156000
8041,1491853086.5151290894,0.144700,6611,1491853082.5532550812,-0.207100
8516,1491853087.8323190212,0.148100,7204,1491853084.1987690926,-0.194500
9017,1491853089.2210440636,0.102000,7546,1491853085.1453440189,-0.057000
9478,1491853090.5065610409,0.169900,8026,1491853086.4734520912,-0.103300
9953,1491853091.8236739635,0.191100,8504,1491853087.7990489006,-0.115100
10428,1491853093.1400558949,0.111500,9115,1491853089.4971969128,-0.210100
10873,1491853094.3751170635,0.109900,9582,1491853090.7955129147,-0.203400
11381,1491853095.7851440907,0.133100,10072,1491853092.1525020599,-0.174400
11859,1491853097.1122140884,0.103600,10413,1491853093.0982079506,-0.080600
12326,1491853098.4082989693,0.192500,11013,1491853094.7656500340,-0.208800
13000,1491853100.2800889015,0.087100,11488,1491853096.0824561119,-0.195100
,,,11959,1491853097.3907530308,-0.239500
,,,12433,1491853098.7059049606,-0.211000
,,,12912,1491853100.0354139805,-0.189100



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
827,1491853066.5206880569,0.584900,950,1491853066.8625099659,-0.475800
1323,1491853067.8905639648,0.592700,1446,1491853068.2301990986,-0.485300
1821,1491853069.2702100277,0.585700,1939,1491853069.5978760719,-0.504000
2314,1491853070.6372070312,0.570700,2403,1491853070.8844869137,-0.536700
2804,1491853071.9970541000,0.576400,2948,1491853072.3962221146,-0.546000
3293,1491853073.3536999226,0.621700,3415,1491853073.6926910877,-0.540300
3764,1491853074.6591069698,0.653500,3879,1491853074.9783020020,-0.510600
4236,1491853075.9681529999,0.616300,4358,1491853076.3068668842,-0.506500
4722,1491853077.3157079220,0.634200,4840,1491853077.6432709694,-0.538900
5211,1491853078.6723299026,0.621300,5311,1491853078.9499471188,-0.543800
5687,1491853079.9906029701,0.639900,5802,1491853080.3096940517,-0.591300
6158,1491853081.2958629131,0.671900,6277,1491853081.6252820492,-0.608500
6615,1491853082.5639770031,0.623100,6733,1491853082.8909718990,-0.538400
7082,1491853083.8600990772,0.653500,7197,1491853084.1791150570,-0.627300
7557,1491853085.1754620075,0.632100,7658,1491853085.4540081024,-0.512800
8037,1491853086.5038890839,0.625900,8170,1491853086.8735730648,-0.572800
8512,1491853087.8215010166,0.637200,8604,1491853088.0771200657,-0.553400
8990,1491853089.1468698978,0.627200,9096,1491853089.4446899891,-0.564300
9467,1491853090.4760940075,0.629200,9589,1491853090.8151319027,-0.538400
9945,1491853091.8012359142,0.617200,10072,1491853092.1525020599,-0.571600
10424,1491853093.1291298866,0.609300,10558,1491853093.5010249615,-0.560200
10898,1491853094.4459769726,0.611900,11020,1491853094.7848780155,-0.568300
11373,1491853095.7636768818,0.640700,11495,1491853096.1018431187,-0.573100
11837,1491853097.0510718822,0.586300,11959,1491853097.3907530308,-0.525700
12315,1491853098.3781840801,0.614700,12418,1491853098.6642630100,-0.556300
12796,1491853099.7133400440,0.560400,12885,1491853099.9609920979,-0.501700
13305,1491853101.1254410744,0.430900,,,



