Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
831,1491853180.7198989391,0.083500
896,1491853180.9006140232,0.026200
1259,1491853181.9084670544,0.085600
1318,1491853182.0720028877,0.019000
1660,1491853183.0184810162,0.074000
1734,1491853183.2217879295,-0.001100
2127,1491853184.3085310459,0.060600
2149,1491853184.3691029549,0.053700
2499,1491853185.3392879963,0.084300
2578,1491853185.5580790043,0.032000
2957,1491853186.6079840660,0.024500
2979,1491853186.6693129539,0.065600
3379,1491853187.7768940926,-0.005300
3397,1491853187.8270399570,-0.094300
3750,1491853188.8061289787,0.082600
3819,1491853188.9971311092,-0.050200
4158,1491853189.9359641075,0.095400
4227,1491853190.1271250248,-0.039800
4624,1491853191.2261300087,0.014900
4646,1491853191.2864999771,0.085600
5038,1491853192.3734579086,-0.012700
5057,1491853192.4258229733,-0.016600
5396,1491853193.3668160439,0.087200
5457,1491853193.5354409218,-0.035600
5803,1491853194.4941198826,0.090000
5872,1491853194.6856598854,-0.068600
6269,1491853195.7841420174,0.027600
6291,1491853195.8453259468,0.047300
6684,1491853196.9342169762,-0.051100
6706,1491853196.9953649044,0.090400
7055,1491853197.9630699158,0.067400
7109,1491853198.1122269630,-0.051000
7438,1491853199.0235860348,-0.004200
7905,1491853200.3656990528,-0.007800
7846,1491853200.2024700642,0.091200
8319,1491853201.5133810043,-0.083100
8261,1491853201.3529028893,0.055300
8737,1491853202.6720719337,0.020400



Accel Z
S_i,S_t,S_x
2135,1491853184.3302619457,-0.315000
2135,1491853184.3302619457,-0.315000
2138,1491853184.3385009766,-0.315000
2141,1491853184.3469090462,-0.315000
2965,1491853186.6304340363,-0.227900
2563,1491853185.5164799690,-0.233900
3387,1491853187.7992079258,-0.225500
2971,1491853186.6468861103,-0.227900
4023,1491853189.5624840260,-0.218100
3393,1491853187.8157680035,-0.225500
4023,1491853189.5624840260,-0.218100
4029,1491853189.5792899132,-0.218100
4632,1491853191.2483589649,-0.306000
4029,1491853189.5792899132,-0.218100
5046,1491853192.3953809738,-0.216000
4638,1491853191.2644419670,-0.306000
5254,1491853192.9721920490,-0.232600
5260,1491853192.9890949726,-0.232600
5861,1491853194.6552450657,-0.291000
5453,1491853193.5233190060,-0.239600
6277,1491853195.8065528870,-0.272300
5868,1491853194.6744689941,-0.291000
6692,1491853196.9566700459,-0.259900
6283,1491853195.8229150772,-0.272300
7099,1491853198.0845849514,-0.207900
6698,1491853196.9730589390,-0.259900
8312,1491853201.4941411018,-0.264400
7105,1491853198.1013319492,-0.207900
8312,1491853201.4941411018,-0.264400
7105,1491853198.1013319492,-0.207900
8527,1491853202.0898869038,-0.232900
8533,1491853202.1065309048,-0.232900
9170,1491853203.8719189167,-0.223400
8533,1491853202.1065309048,-0.232900



Gyro X
S_i,S_t,S_x
850,1491853180.7752730846,0.089100
898,1491853180.9086480141,-0.056500
1305,1491853182.0383300781,0.000900
1533,1491853182.6697249413,-0.031800
1719,1491853183.1830420494,0.069100
1943,1491853183.8008949757,0.089800
2150,1491853184.3741099834,-0.088000
2359,1491853184.9533898830,0.046000
2533,1491853185.4361140728,-0.055100
2775,1491853186.1060230732,0.008900
