Accel X
P_i,P_t,P_x,T_i,T_t,T_p
422,1491853222.5133039951,-0.117525,401,1491853222.4547679424,-0.396000
652,1491853223.1480240822,-0.039375,609,1491853223.0296270847,-0.488250
1008,1491853224.1387770176,-0.035400,958,1491853223.9999980927,-0.505800
1365,1491853225.1300721169,-0.010950,1315,1491853224.9911029339,-0.471900
1729,1491853226.1404919624,-0.000975,1679,1491853226.0021080971,-0.418875
2087,1491853227.1329350471,-0.019275,2030,1491853226.9754390717,-0.453675
2444,1491853228.1232941151,-0.018225,2387,1491853227.9653759003,-0.440100
2794,1491853229.0933630466,-0.009750,2745,1491853228.9571719170,-0.465975
3152,1491853230.0857110023,-0.008175,3102,1491853229.9468660355,-0.424875
3510,1491853231.0775189400,0.000750,3460,1491853230.9380600452,-0.426450
3874,1491853232.0872929096,-0.036675,3824,1491853231.9482638836,-0.399675
4231,1491853233.0788691044,-0.016200,4181,1491853232.9408569336,-0.449850
4596,1491853234.0904068947,-0.022650,4538,1491853233.9292380810,-0.479850
4954,1491853235.0807609558,-0.009825,4904,1491853234.9424550533,-0.465600
5325,1491853236.1094739437,-0.024675,5275,1491853235.9709010124,-0.449775
5683,1491853237.1012508869,-0.024750,5633,1491853236.9625399113,-0.394650
6055,1491853238.1328370571,-0.007725,6005,1491853237.9938399792,-0.465975
6426,1491853239.1616699696,-0.019125,6377,1491853239.0254631042,-0.369825
,,,6577,1491853239.5787398815,-0.528375



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
408,1491853222.4744400978,0.438225,401,1491853222.4547679424,-0.517050
745,1491853223.4061288834,0.441000,595,1491853222.9911439419,-0.162225
1108,1491853224.4176359177,0.477075,951,1491853223.9806780815,-0.242175
1465,1491853225.4070959091,0.499575,1308,1491853224.9722580910,-0.202200
1829,1491853226.4177999496,0.521700,1851,1491853226.4785799980,-0.666075
2187,1491853227.4102880955,0.561900,2208,1491853227.4686839581,-0.559050
2537,1491853228.3806359768,0.580050,2551,1491853228.4193849564,-0.362625
2887,1491853229.3515601158,0.511575,2737,1491853228.9349000454,-0.160950
3252,1491853230.3626959324,0.595575,3274,1491853230.4230868816,-0.749850
3638,1491853231.4321520329,0.558750,3631,1491853231.4129490852,-0.731100
3974,1491853232.3649981022,0.487275,3817,1491853231.9285891056,-0.152400
4317,1491853233.3172268867,0.467100,4352,1491853233.4144999981,-0.477825
4688,1491853234.3452780247,0.549525,4710,1491853234.4064888954,-0.480375
5054,1491853235.3575859070,0.525750,5075,1491853235.4160981178,-0.687525
5418,1491853236.3688199520,0.550950,5447,1491853236.4481329918,-0.610950
5783,1491853237.3782548904,0.624525,5798,1491853237.4198770523,-0.442200
6155,1491853238.4104449749,0.560175,5991,1491853237.9550049305,-0.206775
,,,6176,1491853238.4684939384,-0.611025
,,,6577,1491853239.5787398815,-0.741150



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
1129,1491853224.4754340649,0.299625,773,1491853223.4838960171,-0.157650
1486,1491853225.4655289650,0.188925,1136,1491853224.4946689606,-0.186825
