Accel X
P_i,P_t,P_x,T_i,T_t,T_p
647,1492035423.7226729393,0.409700,636,1492035423.6922490597,-0.390600
903,1492035424.4320518970,0.279000,855,1492035424.2990269661,-0.465100
1203,1492035425.2654008865,0.585600,1132,1492035425.0686221123,-0.472500
1474,1492035426.0166308880,0.513800,1415,1492035425.8528859615,-0.482300
1748,1492035426.7769780159,0.526500,1681,1492035426.5911970139,-0.477900
2001,1492035427.4773108959,0.373800,1956,1492035427.3527419567,-0.491000
2290,1492035428.2798960209,0.511100,2223,1492035428.0940370560,-0.439700
2559,1492035429.0315349102,0.608600,2496,1492035428.8563098907,-0.412100
2833,1492035429.7929730415,0.718300,2766,1492035429.6063880920,-0.451000
3096,1492035430.5235309601,0.467000,3040,1492035430.3684339523,-0.401100
3353,1492035431.2331221104,0.372900,3308,1492035431.1087141037,-0.476600
3616,1492035431.9622690678,0.305200,3572,1492035431.8402140141,-0.424500
3903,1492035432.7561089993,0.694300,3840,1492035432.5808699131,-0.502300
4148,1492035433.4360239506,0.204700,4103,1492035433.3112819195,-0.543100
4407,1492035434.1537010670,0.220200,4356,1492035434.0125820637,-0.431200
4701,1492035434.9680669308,0.865900,4634,1492035434.7831380367,-0.470000
4969,1492035435.7101271152,0.591800,4898,1492035435.5140790939,-0.518400
5202,1492035436.3567399979,0.199500,5169,1492035436.2652719021,-0.547900
5491,1492035437.1603529453,0.346500,5439,1492035437.0146811008,-0.478500
5755,1492035437.8904640675,0.168000,5717,1492035437.7860419750,-0.546500
6041,1492035438.6829159260,0.252300,5993,1492035438.5494999886,-0.487300
6337,1492035439.5045650005,0.483200,6278,1492035439.3411960602,-0.463800



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
368,1492035422.9487090111,0.617100,294,1492035422.7432529926,-0.607300
646,1492035423.7198600769,0.835100,558,1492035423.4749779701,-0.739300
921,1492035424.4821801186,0.948800,836,1492035424.2465898991,-0.751400
1199,1492035425.2544369698,0.909900,1114,1492035425.0184359550,-0.787900
1474,1492035426.0166308880,0.910900,1388,1492035425.7785010338,-0.810500
1748,1492035426.7769780159,0.949900,1663,1492035426.5410909653,-0.847900
2019,1492035427.5273749828,0.945400,1938,1492035427.3027169704,-0.818700
2286,1492035428.2686789036,0.951400,2201,1492035428.0326819420,-0.825000
2559,1492035429.0315349102,0.876200,2473,1492035428.7929940224,-0.830300
2829,1492035429.7818779945,0.780700,2744,1492035429.5454831123,-0.903000
3096,1492035430.5235309601,0.922200,3025,1492035430.3272199631,-0.858700
3371,1492035431.2830889225,0.917200,3282,1492035431.0367279053,-0.840800
3635,1492035432.0149750710,0.952200,3557,1492035431.7996480465,-0.893200
3899,1492035432.7448771000,0.960700,3825,1492035432.5391430855,-0.894800
4166,1492035433.4856679440,0.815900,4084,1492035433.2582919598,-0.936300
4426,1492035434.2061719894,0.954700,4348,1492035433.9906389713,-0.830500
4697,1492035434.9569630623,0.931500,4612,1492035434.7219600677,-0.918900
4965,1492035435.6989190578,0.975300,4886,1492035435.4808189869,-0.929800
5235,1492035436.4488940239,0.905900,5154,1492035436.2236349583,-0.856600
5509,1492035437.2107450962,0.907800,5432,1492035436.9953520298,-0.903400
5785,1492035437.9719009399,0.918200,5702,1492035437.7444369793,-0.853600
6059,1492035438.7324790955,0.941800,5978,1492035438.5078899860,-0.795900
6334,1492035439.4961628914,0.824300,6274,1492035439.3300349712,-0.812600



