Accel X
P_i,P_t,P_x,T_i,T_t,T_p
276,1491853179.1758360863,-0.062025,440,1491853179.6306529045,-0.307350
753,1491853180.5040459633,-0.039900,695,1491853180.3430809975,-0.350325
1145,1491853181.5917730331,-0.008100,881,1491853180.8588089943,-0.378975
1596,1491853182.8419868946,-0.031275,1117,1491853181.5144679546,-0.368475
2006,1491853183.9726300240,-0.040125,1539,1491853182.6841270924,-0.377025
2427,1491853185.1395330429,-0.038100,1948,1491853183.8121290207,-0.366450
2835,1491853186.2701420784,-0.033900,2363,1491853184.9621400833,-0.369825
3257,1491853187.4390759468,-0.043125,2785,1491853186.1311779022,-0.364275
3672,1491853188.5895450115,-0.019125,3193,1491853187.2614779472,-0.373725
4087,1491853189.7398419380,-0.021900,3379,1491853187.7768940926,-0.387300
4502,1491853190.8874800205,-0.038325,3615,1491853188.4315259457,-0.401400
4917,1491853192.0381569862,-0.038850,4029,1491853189.5792899132,-0.393525
5325,1491853193.1689059734,-0.036750,4445,1491853190.7292840481,-0.380850
5725,1491853194.2770440578,-0.033525,4860,1491853191.8802011013,-0.423675
6147,1491853195.4465229511,-0.040050,5267,1491853193.0086050034,-0.348900
6569,1491853196.6170759201,-0.031125,5675,1491853194.1392660141,-0.377250
6941,1491853197.6468739510,-0.037725,6090,1491853195.2888460159,-0.360675
7142,1491853198.2036569118,-0.128700,6505,1491853196.4388859272,-0.430425
7349,1491853198.7777140141,-0.000150,7055,1491853197.9630699158,-0.405600
7740,1491853199.9081969261,-0.010200,7320,1491853198.6972639561,-0.357375
8154,1491853201.0568730831,0.017025,7718,1491853199.8468968868,-0.369150
8576,1491853202.2257919312,0.007575,8133,1491853200.9981389046,-0.346350
9005,1491853203.4141960144,-0.015450,8683,1491853202.5229339600,-0.386250
,,,9170,1491853203.8719189167,-0.357225



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
846,1491853180.7616350651,0.280125,888,1491853180.8783340454,-0.539850
1281,1491853181.9692280293,0.326400,1309,1491853182.0471630096,-0.318225
1726,1491853183.1994709969,0.503550,1725,1491853183.1968100071,-0.557025
2141,1491853184.3469090462,0.474600,2134,1491853184.3275959492,-0.728775
2563,1491853185.5164799690,0.630975,2556,1491853185.4968628883,-0.595125
2971,1491853186.6468861103,0.524550,2964,1491853186.6276340485,-0.697275
3393,1491853187.8157680035,0.604350,3386,1491853187.7965409756,-0.714000
3815,1491853188.9860689640,0.474300,3808,1491853188.9668900967,-0.420750
4223,1491853190.1159160137,0.336225,4215,1491853190.0941970348,-0.267975
4638,1491853191.2644419670,0.384900,4631,1491853191.2456910610,-0.627600
5053,1491853192.4149479866,0.500400,5046,1491853192.3953809738,-0.431475
5453,1491853193.5233190060,0.412650,5446,1491853193.5046520233,-0.638400
5868,1491853194.6744689941,0.585825,5860,1491853194.6524798870,-0.711300
6283,1491853195.8229150772,0.557775,6276,1491853195.8037440777,-0.727125
6698,1491853196.9730589390,0.611625,6691,1491853196.9538600445,-0.537300
7105,1491853198.1013319492,0.385950,7098,1491853198.0817940235,-0.643800
7868,1491853200.2633159161,0.384675,7482,1491853199.1925818920,-0.648600
8282,1491853201.4114830494,0.424800,7897,1491853200.3436601162,-0.374475
8733,1491853202.6607310772,0.243150,8118,1491853200.9565069675,-0.155850
,,,8311,1491853201.4913339615,-0.701250
,,,8726,1491853202.6411139965,-0.457650
,,,9169,1491853203.8680529594,-0.415200



Accel Z
