Accel X
P_i,P_t,P_x,T_i,T_t,T_p
1126,1492035352.7150530815,0.246900,945,1492035352.2124629021,-0.259600
1400,1492035353.4762089252,0.297400,1197,1492035352.9121379852,-0.280300
1619,1492035354.0848829746,0.307200,1474,1492035353.6820380688,-0.261800
1893,1492035354.8452730179,0.231900,1704,1492035354.3204209805,-0.077100
2142,1492035355.5351579189,0.309100,2031,1492035355.2277679443,-0.321400
2424,1492035356.3159019947,0.229700,2399,1492035356.2464680672,-0.214700
2688,1492035357.0473608971,0.193700,2591,1492035356.7789950371,-0.190200
2970,1492035357.8300380707,0.252700,2873,1492035357.5606930256,-0.239500
3282,1492035358.6951150894,0.290200,3263,1492035358.6423580647,-0.236700
3586,1492035359.5381059647,0.256700,3545,1492035359.4243099689,-0.242100
3798,1492035360.1244750023,0.101100,3831,1492035360.2163701057,-0.259700
4128,1492035361.0394170284,0.288500,4106,1492035360.9785449505,-0.257500
4354,1492035361.6672840118,0.208900,4380,1492035361.7396569252,-0.250900
4618,1492035362.3980588913,0.256700,4648,1492035362.4815020561,-0.270400
4944,1492035363.3033339977,0.263200,5074,1492035363.6638989449,-0.315600
5178,1492035363.9529130459,0.252400,5355,1492035364.4452788830,-0.379900
5451,1492035364.7133150101,0.204200,5626,1492035365.1981248856,-0.367100
5726,1492035365.4760088921,0.210900,6030,1492035366.3185451031,-0.283000
6056,1492035366.3908801079,0.324700,6464,1492035367.5208370686,-0.277600
6327,1492035367.1412971020,0.400600,6706,1492035368.2000739574,-0.126600
6569,1492035367.8116478920,0.249600,6981,1492035368.9636850357,-0.098200
6888,1492035368.7054760456,0.342700,7303,1492035369.8570671082,-0.317100
7166,1492035369.4777269363,0.275400,7570,1492035370.5989561081,-0.237500
7437,1492035370.2290849686,0.293500,7860,1492035371.4026060104,-0.194500
7674,1492035370.8869440556,0.209400,8130,1492035372.1515460014,-0.303300
7956,1492035371.6687738895,0.214300,8416,1492035372.9453709126,-0.451400
8234,1492035372.4406850338,0.185200,,,



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
477,1492035350.9147229195,0.344800,473,1492035350.9035019875,-0.330100
774,1492035351.7384159565,0.378500,700,1492035351.5329270363,-0.391600
1056,1492035352.5210220814,0.401300,989,1492035352.3351368904,-0.479700
1459,1492035353.6403410435,0.308100,1260,1492035353.0871090889,-0.385000
1889,1492035354.8343439102,0.415600,1541,1492035353.8682479858,-0.417400
2149,1492035355.5540649891,0.238700,1811,1492035354.6176049709,-0.373400
2428,1492035356.3269460201,0.221000,2097,1492035355.4112510681,-0.404800
2725,1492035357.1499528885,0.405200,2376,1492035356.1828711033,-0.467500
3000,1492035357.9128420353,0.471600,2654,1492035356.9532830715,-0.427400
