Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
6323,1492035503.3916189671,-0.335800
6058,1492035502.6552500725,-0.257800
6358,1492035503.4890079498,-0.300900



Gyro X
S_i,S_t,S_x
260,1492035486.5086839199,-0.041700
398,1492035486.8909399509,0.062200
