Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
1024,1491852971.6378469467,0.085275
1262,1491852972.2943010330,-0.059550
1803,1491852973.7977130413,0.067350
1869,1491852973.9806799889,-0.075750
2367,1491852975.3637149334,0.079425
2454,1491852975.6058449745,0.040575
3002,1491852977.1285550594,0.089250
3039,1491852977.2317230701,0.008700
3367,1491852978.1402909756,0.068250
3603,1491852978.7956919670,0.035100
3973,1491852979.8246860504,0.085875
4181,1491852980.4022359848,0.085275
4690,1491852981.8165450096,0.096150
4737,1491852981.9475510120,0.032850
5207,1491852983.2526769638,0.083175
5308,1491852983.5331609249,-0.067350
5807,1491852984.9180910587,0.074925
5880,1491852985.1201601028,0.054075
6242,1491852986.1267790794,0.098175
6450,1491852986.7038140297,0.070500
6785,1491852987.6333100796,0.086100
7022,1491852988.2914159298,0.061200
7378,1491852989.2798879147,0.097275
7593,1491852989.8769090176,0.031800
7963,1491852990.9044880867,0.082725
8171,1491852991.4822130203,0.008025
8689,1491852992.9189119339,0.098775
8743,1491852993.0688378811,0.082800
9253,1491852994.4823379517,0.090600
9308,1491852994.6346509457,0.027750
9836,1491852996.0989289284,0.095775
9876,1491852996.2103159428,0.054975
10369,1491852997.5756609440,0.093900
10406,1491852997.6780989170,0.015750
10750,1491852998.6460690498,-0.010125
10967,1491852999.2450571060,0.054975
10951,1491852999.2011818886,-0.029475
11514,1491853000.7580869198,0.042975
12019,1491853002.1556870937,0.090825
12080,1491853002.3250839710,0.096600
12372,1491853003.1344320774,-0.070500
12423,1491853003.2759990692,0.016500
12605,1491853003.7807979584,-0.068550
12623,1491853003.8309700489,0.033300
13141,1491853005.2675559521,-0.042300
13659,1491853006.7060329914,0.088350
13676,1491853006.7530679703,0.049500
14194,1491853008.1910810471,0.088950
14219,1491853008.2601881027,0.045750
14741,1491853009.7090890408,-0.032625
14747,1491853009.7255079746,-0.032625
15251,1491853011.1236069202,0.093975
15283,1491853011.2130899429,-0.076950
15801,1491853012.6501729488,0.063075
15812,1491853012.6810860634,0.027825
16344,1491853014.1581048965,-0.024900
16347,1491853014.1665310860,-0.024900
16873,1491853015.6236140728,0.086325
16891,1491853015.6732449532,-0.017475
17273,1491853016.7351880074,0.001575



Accel Z
S_i,S_t,S_x



Gyro X
S_i,S_t,S_x
1026,1491852971.6456460953,0.096450
1068,1491852971.7624289989,-0.079500
1861,1491852973.9608678818,0.022125
1892,1491852974.0468180180,-0.015150
2246,1491852975.0302600861,0.061125
3047,1491852977.2561271191,-0.057675
3406,1491852978.2512989044,0.060525
3500,1491852978.5123579502,-0.067050
3988,1491852979.8687651157,0.067125
4118,1491852980.2299389839,-0.053325
4491,1491852981.2657229900,0.080550
4688,1491852981.8133389950,-0.057600
4724,1491852981.9135990143,0.086100
5136,1491852983.0580759048,-0.093750
5047,1491852982.8110809326,0.091200
5321,1491852983.5720360279,-0.042750
5299,1491852983.5106790066,0.094425
5778,1491852984.8401660919,-0.069750
5677,1491852984.5601799488,0.085950
6452,1491852986.7118859291,-0.015975
6236,1491852986.1125071049,0.064500
6852,1491852987.8220589161,-0.083775
6814,1491852987.7165141106,0.069825
