Accel X
P_i,P_t,P_x,T_i,T_t,T_p
5647,1492035501.5201630592,0.416700,5899,1492035502.2186501026,-0.199200
5926,1492035502.2929179668,0.436500,6237,1492035503.1550180912,-0.412000
6334,1492035503.4244580269,0.245400,,,



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
556,1492035487.3304159641,0.339000,352,1492035486.7640550137,-0.298200
830,1492035488.0908980370,0.336700,641,1492035487.5663468838,-0.431200
1097,1492035488.8335061073,0.328400,908,1492035488.3068950176,-0.426800
1368,1492035489.5926818848,0.321700,1179,1492035489.0683870316,-0.429600
1635,1492035490.3342049122,0.300100,1454,1492035489.8310699463,-0.427600
2017,1492035491.3941030502,0.284600,1710,1492035490.5421440601,-0.474000
2307,1492035492.1980938911,0.775600,1973,1492035491.2725279331,-0.472700
2551,1492035492.8751459122,0.192700,2244,1492035492.0234479904,-0.528600
2834,1492035493.6598238945,0.782800,2507,1492035492.7528100014,-0.439700
3082,1492035494.3489789963,0.285800,2770,1492035493.4825708866,-0.552300
3356,1492035495.1088020802,0.234900,3037,1492035494.2239089012,-0.511900
3623,1492035495.8497738838,0.363100,3308,1492035494.9757249355,-0.540900
3894,1492035496.6617019176,0.697000,3579,1492035495.7275099754,-0.480600
4143,1492035497.3515501022,0.149400,3820,1492035496.4559769630,-0.545700
4418,1492035498.1143810749,0.308100,4095,1492035497.2184801102,-0.531700
4689,1492035498.8660230637,0.297900,4369,1492035497.9786860943,-0.516900
4985,1492035499.6876430511,0.664500,4648,1492035498.7523241043,-0.572600
5234,1492035500.3780889511,0.294600,4915,1492035499.4930310249,-0.596500
5531,1492035501.2004690170,0.804100,5186,1492035500.2447340488,-0.510700
5780,1492035501.8888809681,0.267900,5465,1492035501.0163369179,-0.537900
6085,1492035502.7328081131,0.640800,5736,1492035501.7668290138,-0.512300
6352,1492035503.4745130539,0.419300,6015,1492035502.5387430191,-0.575300
,,,6296,1492035503.3190999031,-0.547300



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
426,1492035486.9691340923,0.786400,363,1492035486.7940840721,-0.643300
708,1492035487.7521278858,0.830600,619,1492035487.5054140091,-0.772100
967,1492035488.4714219570,0.862600,890,1492035488.2573060989,-0.817900
1246,1492035489.2541699409,0.838800,1157,1492035489.0069940090,-0.899300
1509,1492035489.9837551117,0.893100,1442,1492035489.7978880405,-0.871000
1772,1492035490.7137160301,0.869000,1702,1492035490.5202419758,-0.892900
2036,1492035491.4464631081,0.964300,1954,1492035491.2196350098,-0.869600
2307,1492035492.1980938911,0.965800,2225,1492035491.9705719948,-0.945500
2570,1492035492.9278459549,0.911700,2485,1492035492.6913619041,-0.918100
2822,1492035493.6266319752,0.951000,2744,1492035493.4105141163,-0.905100
3085,1492035494.3573200703,0.887000,3015,1492035494.1625440121,-0.963100
3374,1492035495.1588408947,0.893200,3282,1492035494.9034750462,-0.875800
3641,1492035495.8999159336,0.963000,3571,1492035495.7057690620,-0.920400
3891,1492035496.6532878876,0.927700,3809,1492035496.4253671169,-0.962100
4162,1492035497.4043600559,0.940800,4072,1492035497.1548290253,-0.871200
4436,1492035498.1645510197,0.921800,4340,1492035497.8981299400,-0.920200
4711,1492035498.9269289970,0.923000,4625,1492035498.6885740757,-0.936500
4981,1492035499.6765460968,0.938600,4900,1492035499.4518730640,-0.892200
5252,1492035500.4280569553,0.922700,5174,1492035500.2119419575,-0.870200
5527,1492035501.1891438961,0.931800,5446,1492035500.9641458988,-0.924700
5799,1492035501.9412360191,0.935600,5721,1492035501.7250599861,-0.875600
6081,1492035502.7215681076,0.933300,5996,1492035502.4866020679,-0.916300
6352,1492035503.4745130539,0.770900,6285,1492035503.2887489796,-0.874300



