Accel X
P_i,P_t,P_x,T_i,T_t,T_p
1194,1492035169.6234979630,0.184700,1498,1492035170.4664809704,-0.240700
1479,1492035170.4139149189,0.298600,1801,1492035171.3089389801,-0.190300
1768,1492035171.2177040577,0.214400,2065,1492035172.0410358906,-0.308500
2046,1492035171.9885699749,0.178300,2361,1492035172.8632259369,-0.230300
2320,1492035172.7497498989,0.140700,2642,1492035173.6445660591,-0.235600
2613,1492035173.5640599728,0.169100,2906,1492035174.3764209747,-0.171800
2895,1492035174.3457620144,0.181200,3191,1492035175.1667668819,-0.209600
3177,1492035175.1278810501,0.263800,3377,1492035175.6824400425,-0.206000
3462,1492035175.9185080528,0.178200,3755,1492035176.7312541008,-0.227900
3796,1492035176.8452119827,0.273800,4196,1492035177.9551188946,-0.226100
4067,1492035177.5968821049,0.354500,4427,1492035178.5954809189,-0.217700
4293,1492035178.2233688831,0.173800,4768,1492035179.5406849384,-0.166900
4575,1492035179.0047180653,0.141800,5024,1492035180.2513051033,-0.203900
4890,1492035179.8800549507,0.264900,5313,1492035181.0542399883,-0.213500
5238,1492035180.8460209370,0.249400,5595,1492035181.8357169628,-0.204800
5457,1492035181.4544439316,0.317100,6003,1492035182.9668409824,-0.218800
5695,1492035182.1123609543,0.148500,6270,1492035183.7078649998,-0.390200
6014,1492035182.9973349571,0.319500,6555,1492035184.4985330105,-0.161400
6251,1492035183.6549398899,0.213000,6841,1492035185.2932310104,-0.231000
6567,1492035184.5318720341,0.307600,7108,1492035186.0342450142,-0.342600
6855,1492035185.3321509361,0.275900,7383,1492035186.8033111095,-0.248900
7089,1492035185.9813048840,0.140000,7565,1492035187.3085470200,-0.168600
7417,1492035186.8980929852,0.238500,7784,1492035187.9166109562,-0.295500
7647,1492035187.5357799530,0.196000,8058,1492035188.6786739826,-0.178400
7924,1492035188.3065559864,0.221100,8394,1492035189.6141688824,-0.217000
8253,1492035189.2220630646,0.264100,8664,1492035190.3639280796,-0.412900
8479,1492035189.8497080803,0.169400,,,
8795,1492035190.7257699966,0.411700,,,



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
952,1492035168.9541499615,0.248500,870,1492035168.7262589931,-0.372500
1230,1492035169.7232739925,0.376200,1153,1492035169.5101358891,-0.392900
1516,1492035170.5166580677,0.437000,1442,1492035170.3109700680,-0.415600
1801,1492035171.3089389801,0.495900,1724,1492035171.0940051079,-0.362200
2079,1492035172.0798299313,0.442400,2009,1492035171.8862390518,-0.374500
2365,1492035172.8744399548,0.422700,2287,1492035172.6583778858,-0.392600
