Accel X
P_i,P_t,P_x,T_i,T_t,T_p
10412,1491852997.6950790882,0.060450,12590,1491853003.7393229008,-0.041400
10958,1491852999.2207190990,0.061275,12898,1491853004.5933918953,-0.049275
11238,1491852999.9936819077,0.095775,13426,1491853006.0593891144,-0.050100
11510,1491853000.7469389439,0.053625,13669,1491853006.7338099480,-0.048525
12076,1491853002.3137700558,0.067050,14219,1491853008.2601881027,-0.041250
12612,1491853003.8001608849,0.071475,14726,1491853009.6672949791,-0.039150
13148,1491853005.2872459888,0.098925,15276,1491853011.1934530735,-0.039000
13454,1491853006.1374969482,0.044700,16326,1491853014.1079111099,-0.051975
13690,1491853006.7923390865,0.101625,16869,1491853015.6128489971,-0.051825
14269,1491853008.3989789486,0.050625,,,
14761,1491853009.7648339272,0.084600,,,
15290,1491853011.2318930626,0.116175,,,
15819,1491853012.7004129887,0.084975,,,
16361,1491853014.2049579620,0.098775,,,
16898,1491853015.6928830147,0.094050,,,



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
1030,1491852971.6564888954,0.104325,1064,1491852971.7511498928,-0.085725
1865,1491852973.9719278812,0.055875,1888,1491852974.0355479717,-0.078300
2250,1491852975.0414791107,0.067725,3043,1491852977.2453188896,-0.078000
3410,1491852978.2625329494,0.061575,3496,1491852978.5011379719,-0.070275
3992,1491852979.8799920082,0.087000,4114,1491852980.2187180519,-0.071925
4495,1491852981.2769548893,0.085800,4684,1491852981.8021769524,-0.060525
4728,1491852981.9248890877,0.094050,5132,1491852983.0468499660,-0.098250
5058,1491852982.8416149616,0.109425,5317,1491852983.5608110428,-0.054300
5303,1491852983.5218999386,0.116025,5774,1491852984.8289389610,-0.070125
5681,1491852984.5714249611,0.096450,6448,1491852986.7007730007,-0.076950
6240,1491852986.1237230301,0.076500,6848,1491852987.8112061024,-0.086100
6818,1491852987.7274949551,0.084450,7593,1491852989.8793420792,-0.081825
7337,1491852989.1685450077,0.061575,8149,1491852991.4237051010,-0.071175
7967,1491852990.9181339741,0.122625,8683,1491852992.9048960209,-0.074250
8549,1491852992.5324409008,0.086625,9251,1491852994.4791560173,-0.053250
9121,1491852994.1181950569,0.081150,9878,1491852996.2183530331,-0.050775
9303,1491852994.6230080128,0.094650,10249,1491852997.2452850342,-0.064350
9678,1491852995.6626820564,0.100575,10961,1491852999.2312040329,-0.149025
10175,1491852997.0404219627,0.109425,11449,1491853000.5810890198,-0.053550
10405,1491852997.6777229309,0.087675,12077,1491853002.3190119267,-0.102825
10760,1491852998.6751189232,0.099075,12615,1491853003.8108050823,-0.107925
11319,1491853000.2206149101,0.161325,13164,1491853005.3341178894,-0.055575
11892,1491853001.8054180145,0.089400,13534,1491853006.3613729477,-0.110925
12422,1491853003.2756280899,0.122700,14146,1491853008.0599939823,-0.076950
12960,1491853004.7678110600,0.088725,14776,1491853009.8088929653,-0.059175
13501,1491853006.2701020241,0.129600,15110,1491853010.7340729237,-0.089100
14042,1491853007.7719199657,0.098550,15307,1491853011.2816948891,-0.068625
14587,1491853009.2838270664,0.104550,15826,1491853012.7214839458,-0.067050
15055,1491853010.5819499493,0.099825,16337,1491853014.1405770779,-0.082875
15277,1491853011.1986858845,0.071775,16879,1491853015.6423339844,-0.048150
15648,1491853012.2281401157,0.091800,17390,1491853017.0626859665,-0.120000
16185,1491853013.7203218937,0.087375,,,
16716,1491853015.1902720928,0.089400,,,
16898,1491853015.6953198910,0.102600,,,
17449,1491853017.2268600464,0.046650,,,



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
1000,1491852971.5739040375,0.071475,480,1491852970.1332728863,-0.065700
1658,1491852973.3968310356,0.074850,1153,1491852971.9971909523,-0.074250
2228,1491852974.9807701111,0.068850,1765,1491852973.6950929165,-0.080925
2813,1491852976.6057739258,0.087825,2369,1491852975.3717589378,-0.113325
3392,1491852978.2124249935,0.078450,2954,1491852976.9977810383,-0.096375
3973,1491852979.8271141052,0.073125,3510,1491852978.5401289463,-0.101025
4540,1491852981.4021029472,0.065625,4058,1491852980.0631699562,-0.128250
5076,1491852982.8917310238,0.084225,4632,1491852981.6578230858,-0.119850
5644,1491852984.4684159756,0.104400,5225,1491852983.3052918911,-0.075900
6244,1491852986.1344819069,0.053850,5762,1491852984.7961380482,-0.112800
6796,1491852987.6661350727,0.056550,6340,1491852986.4009840488,-0.128700
7363,1491852989.2411270142,0.122625,6922,1491852988.0162739754,-0.095700
7582,1491852989.8494439125,0.047700,7482,1491852989.5712480545,-0.098700
8520,1491852992.4527149200,0.092025,8064,1491852991.1872150898,-0.150975
9099,1491852994.0572121143,0.057750,8650,1491852992.8126521111,-0.138375
9663,1491852995.6215429306,0.084675,9214,1491852994.3765540123,-0.126750
10153,1491852996.9795761108,0.073125,9770,1491852995.9177238941,-0.108225
10756,1491852998.6644608974,0.067575,10175,1491852997.0404219627,-0.061725
