Accel X
P_i,P_t,P_x,T_i,T_t,T_p
859,1491853066.6068849564,0.009150,1038,1491853067.1027450562,-0.311625
1347,1491853067.9550769329,-0.031725,1526,1491853068.4494419098,-0.298650
1533,1491853068.4690690041,0.045900,1826,1491853069.2816610336,-0.284625
1848,1491853069.3427290916,-0.010875,2019,1491853069.8173689842,-0.408525
2348,1491853070.7292170525,-0.018000,2526,1491853071.2242019176,-0.340050
2841,1491853072.0970759392,-0.010350,3005,1491853072.5523059368,-0.387900
3319,1491853073.4233610630,-0.021525,3298,1491853073.3652598858,-0.247350
3791,1491853074.7315180302,-0.013125,3484,1491853073.8796310425,-0.429975
4263,1491853076.0407779217,0.000900,3770,1491853074.6730659008,-0.286725
4749,1491853077.3885910511,0.009075,3956,1491853075.1897079945,-0.426375
5242,1491853078.7560749054,0.014325,4427,1491853076.4959919453,-0.427200
5708,1491853080.0466139317,0.009150,4728,1491853077.3302359581,-0.277875
6187,1491853081.3733890057,0.030450,4914,1491853077.8461849689,-0.385425
6651,1491853082.6612689495,0.002625,5206,1491853078.6563000679,-0.298725
7108,1491853083.9298379421,-0.027825,5414,1491853079.2334299088,-0.304275
7588,1491853085.2582509518,0.020250,5879,1491853080.5211369991,-0.394200
8068,1491853086.5875060558,0.054600,6630,1491853082.6027710438,-0.311400
8546,1491853087.9132831097,-0.006150,6815,1491853083.1161890030,-0.332100
9018,1491853089.2214159966,0.003825,7215,1491853084.2267110348,-0.317100
9495,1491853090.5514750481,0.009825,7753,1491853085.7132940292,-0.293850
9974,1491853091.8781468868,0.033000,8032,1491853086.4874279499,-0.295500
10460,1491853093.2269089222,-0.030825,8511,1491853087.8162748814,-0.311250
10923,1491853094.5139648914,0.015675,8703,1491853088.3490779400,-0.396150
11402,1491853095.8411800861,0.039375,8997,1491853089.1635990143,-0.259650
11860,1491853097.1125879288,0.017175,9181,1491853089.6782579422,-0.329100
12345,1491853098.4589149952,0.020325,9652,1491853090.9874529839,-0.313200
