Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
S_i,S_t,S_x
466,1492035350.8841099739,0.058800
485,1492035350.9368219376,0.088100
659,1492035351.4192359447,-0.092600
786,1492035351.7715630531,0.013600
937,1492035352.1908879280,-0.078000
1064,1492035352.5433158875,-0.022000
1223,1492035352.9843270779,-0.084800
1479,1492035353.6960890293,0.091200
1496,1492035353.7433059216,-0.064500
1893,1492035354.8452730179,-0.067300
1771,1492035354.5063700676,-0.096000
2184,1492035355.6506710052,-0.002100
2056,1492035355.2984709740,-0.075600
2432,1492035356.3381650448,0.029900
2331,1492035356.0583980083,-0.071200
2730,1492035357.1640579700,-0.067700
2617,1492035356.8509008884,-0.085400
3012,1492035357.9462950230,0.054000
2888,1492035357.6018741131,-0.077100
3279,1492035358.6867020130,-0.040200
3163,1492035358.3654859066,-0.094300
3568,1492035359.4880559444,0.060300
3430,1492035359.1057069302,-0.071200
3847,1492035360.2608020306,0.009400
3723,1492035359.9168300629,-0.089900
4113,1492035360.9981639385,0.002600
3994,1492035360.6678280830,-0.073200
4392,1492035361.7724919319,-0.042900
4269,1492035361.4312269688,-0.096400
4656,1492035362.5039730072,-0.082900
4540,1492035362.1812810898,-0.071900
4937,1492035363.2836930752,0.075000
4814,1492035362.9421820641,-0.072800
5219,1492035364.0670459270,-0.018500
5103,1492035363.7445700169,-0.099300
5462,1492035364.7434608936,-0.005600
5381,1492035364.5177869797,-0.078500
5766,1492035365.5869169235,0.010500
5644,1492035365.2482659817,-0.062000
6026,1492035366.3073608875,-0.035500
5926,1492035366.0296719074,-0.071400
6332,1492035367.1548769474,0.026000
6212,1492035366.8230609894,-0.095200
6583,1492035367.8508429527,-0.072200
6490,1492035367.5931420326,-0.096800
6878,1492035368.6776900291,0.055500
6762,1492035368.3559188843,-0.064500
7152,1492035369.4389228821,-0.056200
7036,1492035369.1168410778,-0.091500
7441,1492035370.2404000759,0.083900
7314,1492035369.8880679607,-0.091800
7685,1492035370.9173269272,-0.053300
7592,1492035370.6601181030,-0.064700
7989,1492035371.7605209351,-0.028500
7867,1492035371.4222369194,-0.084000
8268,1492035372.5347371101,-0.094700



Gyro Z
S_i,S_t,S_x
477,1492035350.9147229195,-0.051300
727,1492035351.6078400612,-0.049000
740,1492035351.6438438892,0.099500
1012,1492035352.3988840580,-0.079300
1026,1492035352.4381690025,0.027100
1290,1492035353.1707079411,-0.022700
1304,1492035353.2096459866,0.091200
1568,1492035353.9432160854,-0.042700
1578,1492035353.9711980820,0.064900
1842,1492035354.7039589882,-0.066000
1852,1492035354.7319469452,0.079500
2124,1492035355.4851219654,-0.092300
2145,1492035355.5432560444,0.060300
2407,1492035356.2684659958,-0.040400
2417,1492035356.2964560986,0.089300
2685,1492035357.0389928818,-0.073400
2695,1492035357.0669651031,0.064700
2960,1492035357.8018569946,-0.023200
2992,1492035357.8908150196,0.057100
3234,1492035358.5619618893,-0.097300
3244,1492035358.5900380611,0.057400
3505,1492035359.3131930828,-0.051800
3515,1492035359.3410630226,0.029600
3787,1492035360.0940520763,-0.070100
3805,1492035360.1442589760,0.093700
4062,1492035360.8565609455,-0.061500
4076,1492035360.8952660561,0.096500
4336,1492035361.6171751022,-0.093200
4350,1492035361.6560769081,0.086900
4615,1492035362.3896090984,-0.021500
4625,1492035362.4176940918,0.051800
4885,1492035363.1393840313,-0.098900
4895,1492035363.1676208973,0.052300
5163,1492035363.9112620354,-0.095300
5174,1492035363.9416749477,0.077000
5441,1492035364.6852591038,-0.057200
5454,1492035364.7216439247,0.089400
5715,1492035365.4455471039,-0.059300
5729,1492035365.4844501019,0.077300
6005,1492035366.2487189770,-0.028100
6015,1492035366.2768580914,0.091200
6279,1492035367.0088589191,-0.059600
6286,1492035367.0284850597,0.048000
6562,1492035367.7924718857,-0.018700
6575,1492035367.8284559250,0.087000
6833,1492035368.5532550812,-0.094800
6850,1492035368.6004528999,0.099200
7107,1492035369.3134629726,-0.086400
7114,1492035369.3331000805,0.027300
7385,1492035370.0849499702,-0.011800
7396,1492035370.1149780750,0.098800
7664,1492035370.8587260246,0.003700
7677,1492035370.8950989246,0.061500
7942,1492035371.6299729347,-0.033100
7959,1492035371.6772348881,0.078600
8224,1492035372.4125359058,-0.038200
8234,1492035372.4406850338,0.037900
8513,1492035373.2144839764,-0.055500



