Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
2422,1492035559.0300469398,0.091500
2524,1492035559.3138649464,-0.046400
2655,1492035559.6764950752,0.033600
2773,1492035560.0045549870,0.007400
2914,1492035560.3971710205,0.006300
3024,1492035560.7028610706,-0.046500
3137,1492035561.0161499977,0.013800
3269,1492035561.3823521137,-0.029600
3396,1492035561.7341809273,0.065500
3510,1492035562.0507419109,-0.089800
3638,1492035562.4054219723,0.022700
3751,1492035562.7191190720,0.022200
3890,1492035563.1035149097,-0.042700
4008,1492035563.4303529263,-0.044200
4139,1492035563.7936348915,-0.095500
4257,1492035564.1204319000,-0.022900
4391,1492035564.4919390678,0.007600
4509,1492035564.8197009563,-0.025000
4647,1492035565.2022829056,-0.056600
4768,1492035565.5388228893,-0.062500
4902,1492035565.9114089012,-0.010600
5033,1492035566.2703139782,-0.026100
5164,1492035566.6327381134,0.089800



