Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
831,1491853180.7198989391,0.062625
896,1491853180.9006140232,0.019650
1259,1491853181.9084670544,0.064200
1318,1491853182.0720028877,0.014250
1668,1491853183.0401740074,0.088425
1734,1491853183.2217879295,-0.000825
2127,1491853184.3085310459,0.045450
2149,1491853184.3691029549,0.040275
2499,1491853185.3392879963,0.063225
2567,1491853185.5275349617,-0.093450
2957,1491853186.6079840660,0.018375
2975,1491853186.6580960751,-0.095625
3379,1491853187.7768940926,-0.003975
3397,1491853187.8270399570,-0.070725
3757,1491853188.8257229328,0.095475
3819,1491853188.9971311092,-0.037650
4208,1491853190.0746769905,-0.090600
4227,1491853190.1271250248,-0.029850
4624,1491853191.2261300087,0.011175
4646,1491853191.2864999771,0.064200
5038,1491853192.3734579086,-0.009525
5057,1491853192.4258229733,-0.012450
5439,1491853193.4849739075,-0.086400
5457,1491853193.5354409218,-0.026700
5811,1491853194.5163249969,0.080850
5872,1491853194.6856598854,-0.051450
6269,1491853195.7841420174,0.020700
6287,1491853195.8341109753,-0.088050
6684,1491853196.9342169762,-0.038325
6702,1491853196.9842250347,-0.080625
7091,1491853198.0623140335,-0.092850
7109,1491853198.1122269630,-0.038250
7439,1491853199.0730910301,0.090600
7905,1491853200.3656990528,-0.005850
7846,1491853200.2024700642,0.068400
8319,1491853201.5133810043,-0.062325
8111,1491853200.9368979931,-0.043800
8737,1491853202.6720719337,0.015300



Accel Z
S_i,S_t,S_x
2135,1491853184.3302619457,-0.236250
2135,1491853184.3302619457,-0.236250
2135,1491853184.3302619457,-0.236250
4632,1491853191.2483589649,-0.229500
2141,1491853184.3469090462,-0.236250
4632,1491853191.2483589649,-0.229500
2141,1491853184.3469090462,-0.236250
4632,1491853191.2483589649,-0.229500
2141,1491853184.3469090462,-0.236250
4632,1491853191.2483589649,-0.229500
2141,1491853184.3469090462,-0.236250
4632,1491853191.2483589649,-0.229500
2141,1491853184.3469090462,-0.236250
4632,1491853191.2483589649,-0.229500
2141,1491853184.3469090462,-0.236250
5861,1491853194.6552450657,-0.218250
2141,1491853184.3469090462,-0.236250
5861,1491853194.6552450657,-0.218250
4638,1491853191.2644419670,-0.229500
5861,1491853194.6552450657,-0.218250
4638,1491853191.2644419670,-0.229500
5861,1491853194.6552450657,-0.218250
4638,1491853191.2644419670,-0.229500
6277,1491853195.8065528870,-0.204225
4638,1491853191.2644419670,-0.229500
5868,1491853194.6744689941,-0.218250
6283,1491853195.8229150772,-0.204225
6283,1491853195.8229150772,-0.204225
6283,1491853195.8229150772,-0.204225
6283,1491853195.8229150772,-0.204225
6283,1491853195.8229150772,-0.204225
6283,1491853195.8229150772,-0.204225
6283,1491853195.8229150772,-0.204225



Gyro X
S_i,S_t,S_x
850,1491853180.7752730846,0.066825
898,1491853180.9086480141,-0.042375
1102,1491853181.4752960205,0.049050
1314,1491853182.0636019707,0.034575
1517,1491853182.6252861023,0.058500
1731,1491853183.2158091068,-0.018675
1935,1491853183.7783679962,0.086700
1995,1491853183.9449288845,-0.090525
2124,1491853184.3025329113,0.039825
2370,1491853184.9841780663,0.031875
2347,1491853184.9206769466,0.064950
