Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
1490,1491853068.3492701054,0.091200
2534,1491853071.2461259365,-0.005925
2962,1491853072.4330608845,0.069975
3016,1491853072.5832569599,0.042900
3441,1491853073.7621650696,0.088950
3506,1491853073.9412279129,0.031425
3927,1491853075.1096730232,0.095475
3978,1491853075.2510709763,0.013425
4435,1491853076.5175859928,-0.042225
5422,1491853079.2557320595,0.036375
5364,1491853079.0943059921,0.089850
6338,1491853081.7925701141,0.092100
5879,1491853080.5211369991,-0.085050
7288,1491853084.4294691086,0.002100
6344,1491853081.8090250492,0.092100
8247,1491853087.0846929550,-0.000375
6822,1491853083.1358571053,-0.044250
9175,1491853089.6613750458,-0.076725
7229,1491853084.2654929161,0.099825
9645,1491853090.9678490162,0.054600
7760,1491853085.7329409122,-0.076275
10132,1491853092.3165259361,-0.054600
8181,1491853086.9015359879,0.047025
10611,1491853093.6455450058,-0.020625
8703,1491853088.3490779400,0.027750
11074,1491853094.9324529171,0.097650
9181,1491853089.6782579422,-0.076725
11553,1491853096.2603878975,-0.088800
9652,1491853090.9874529839,0.054450
12045,1491853097.6273119450,-0.006075
10138,1491853092.3329520226,-0.054600
12988,1491853100.2446949482,0.004650



Accel Z
S_i,S_t,S_x



Gyro X
S_i,S_t,S_x
1050,1491853067.1382820606,-0.079575
1357,1491853067.9847459793,0.099675
1383,1491853068.0554978848,-0.064575
1818,1491853069.2620990276,0.047400
1936,1491853069.5894489288,-0.086625
3012,1491853072.5744819641,0.044025
3015,1491853072.5828800201,0.044025
3287,1491853073.3371810913,0.092400
3498,1491853073.9208829403,-0.086475
3758,1491853074.6421620846,-0.017025
3965,1491853075.2172329426,0.032850
4270,1491853076.0627250671,0.067875
4440,1491853076.5340130329,-0.024375
4756,1491853077.4099390507,0.061650
4926,1491853077.8817970753,-0.017400
5204,1491853078.6531229019,0.058800
5412,1491853079.2303950787,-0.008925
5721,1491853080.0850009918,0.085875
5887,1491853080.5451450348,0.034800
6323,1491853081.7530701160,0.082050
6355,1491853081.8424639702,-0.044100
6616,1491853082.5667181015,0.005175
6826,1491853083.1492459774,0.010725
7082,1491853083.8600990772,0.059175
7123,1491853083.9734230042,-0.094500
7767,1491853085.7550179958,-0.053100
7781,1491853085.7938320637,-0.062400
8034,1491853086.4954800606,0.047175
8241,1491853087.0707459450,-0.052350
8509,1491853087.8130290508,0.029700
9186,1491853089.6942679882,0.032625
9456,1491853090.4457969666,0.077850
9663,1491853091.0204679966,-0.075300
9935,1491853091.7737019062,0.062100
10150,1491853092.3688480854,-0.008625
10417,1491853093.1094338894,0.088200
10628,1491853093.6952888966,-0.021675
10896,1491853094.4403610229,0.046950
11095,1491853094.9929630756,-0.005850
11363,1491853095.7354850769,0.054900
11566,1491853096.2990429401,0.019950
11830,1491853097.0322721004,0.012300
12515,1491853098.9339570999,-0.077925
12835,1491853099.8219261169,0.088500
12856,1491853099.8803620338,-0.061950
13351,1491853101.2526679039,0.055200



Gyro Y
S_i,S_t,S_x
409,1491853065.3596129417,-0.087450
843,1491853066.5652389526,0.045600
946,1491853066.8516891003,-0.099000
1335,1491853067.9237489700,0.054225
